Gene	B	CD4	CD8CD226negNoAct	CD8CD226negPostAct	CD8CD226plusNoAct	CD8CD226plusPostAct	M1	M2	Mono	Neu	NK
SULT1B1	0	4.24	1.08	0.13	7	0.13	0.01	1.9	1.57	11.01	0.625
SUSD4	0	2.37	30	0.455	29.5	2.405	0.005	0.06	0.05	0	0
TNFAIP2	0.03	0.07	4.005	0.005	0	1.005	69.03	23.48	156.03	152.5	0.015
TNFRSF21	0.13	0.01	0	0	0	14	7.4	33.41	0.11	0	0
TNS3	1.86	0.04	0.005	0.005	0.015	16.01	57.93	20.92	4.44	0	0
TRAV1-2	0	2.24	148.5	576.395	198	664.895	0	0	0	0	0
TRBV2	0	11.14	277.5	480.335	261	193.835	0	0	0.02	0	0
TRBV5-1	0	12.66	416.5	94.015	314.5	88.515	0	0	0.01	0	0
TRIB2	6.65	21.76	1205	657.375	1584	327.875	0.02	1.32	0.175	0.085	4.315
TSPAN4	0.17	0.36	21.5	13.24	19.5	48.24	18.73	8.98	3.515	0	0.565
UBASH3A	0	12.38	460.5	461.2	460.5	411.7	0	0	0.045	0	0.025
UBTD1	0.03	0.11	7	23.565	19	29.565	8.86	16.62	1.355	1.985	0.035
WNT7A	0	1.41	17.5	0.27	119.5	3.23	0	0	0.005	0	0
WWTR1	0.06	0.08	2.075	3.575	8.5	34.075	5.345	18.09	0	0.01	0.02
ZNF815P	0.6	12.9	187.5	69.37	180.5	40.37	0.495	1.56	0.885	0.38	0.185
