gene	LAU125	LAU1255	LAU1314	LAU355
LINC01189	0	0	0	0
LINC01191	0	0.11	0	0.21
LINC01192	0.09	0	0.02	0.16
LINC01194	0.04	1.22	0	0
LINC01197	0.3	0	0	0
LINC01198	0	0	0	0
LINC01201	0	0	0	0
LINC01203	0	0	0	0
LINC01204	0	0	0	0
LINC01205	0	0.12	0.09	0.2
LINC01206	0.01	0	0	0
LINC01207	0.1	0.04	0.06	0.04
LINC01208	0	0	0	0
LINC01209	0.18	0.1	0.15	0.1
LINC01210	0	0	0	0
LINC01212	12.45	3.99	0.05	0.08
LINC01213	0	0	0	0
LINC01214	0	0	0	0
LINC01216	0	0	0	0.03
LINC01217	0	0	0	0
LINC01218	0.23	0	0	0
LINC01219	0	0	0	0
LINC01221	0	0	0	0
LINC01222	0	0	0.04	0
LINC01226	0.18	0.13	0.38	0.21
LINC01231	0	0	0	0
LINC01234	0.5	0.24	0	0.09
LINC01237	0.35	0.27	2.05	1.19
LINC01239	6.95	2.18	0.06	0.09
LINC01241	0	0	0	0
LINC01247	0.11	0.07	0.17	0.23
LINC01248	0	0	0	0
LINC01249	0.25	0.27	0.06	0.29
LINC01250	0	0	0.02	0.01
LINC01251	0	0.17	0	0.46
LINC01252	0.92	0.3	0.47	0.61
LINC01256	0	0	0	0
LINC01257	0.2	0	0	0
LINC01258	0.07	0.01	0	0.02
LINC01259	0	0.02	0	0.09
LINC01260	0.07	1.04	1.28	1.23
LINC01262	0.11	0	0.17	0
LINC01264	0	0	0	0
LINC01265	0.03	0	0	0
LINC01266	0.01	0.68	0.03	0.03
LINC01267	0	0	0.07	0.02
LINC01268	0.07	0.14	0	0.06
LINC01270	0.95	0.4	0	0
LINC01271	0.18	0	0.03	0
LINC01272	2.97	11.36	0.07	1.77
LINC01273	0.29	0	0.05	0
LINC01276	0	0	0.08	0
LINC01277	0.09	0	0.09	0.03
LINC01278	4.52	3.08	2.89	3.68
LINC01280	0	0	0	0
LINC01281	0.04	0.41	1.74	1.06
LINC01282	0	0	0	0.02
LINC01284	0	0	0	0.09
LINC01285	0.39	0.05	0.22	0.16
LINC01287	0.24	0.26	1.97	0.7
LINC01288	0	0	0	0
LINC01289	0	0	0	0
LINC01291	5.22	5.95	4.17	0
LINC01293	1.84	3.01	0.15	0
LINC01296	0.19	0.62	0	0
LINC01298	0	0	0	0
LINC01299	0.03	0.02	0.09	0.02
LINC01300	0	0	0	0
LINC01301	1.51	0.29	0	0.19
LINC01304	0	0	0	0
LINC01305	0.03	0	0	0.01
LINC01307	0	0	0.07	0.23
LINC01309	0	0	0	0
LINC01310	0	0	0	0
LINC01312	0	0	0	0
LINC01315	2.05	0.65	0.06	0.11
LINC01317	7.55	13	0.28	0.21
LINC01318	0.13	0.43	0	0
LINC01320	0.68	2.34	0	0.07
LINC01322	0	0	0.02	0.02
LINC01323	0	0	0	0
LINC01324	0.18	0	0	0
LINC01326	0	0	0	0
LINC01327	0	0	0	0
LINC01330	0	0	0.05	0
LINC01331	0.05	0	0	0
LINC01332	0	0	0	0
LINC01333	0	0	0	0
LINC01335	0	0	0	0
LINC01336	0	0.06	0.1	0.56
LINC01337	0	0.13	0.13	0.11
LINC01339	0	0	0	0
LINC01340	0.07	0	0.04	0
LINC01341	0.53	0.25	0	0.09
LINC01342	0	0	0	0
LINC01343	0	0.01	0	0
LINC01344	0.03	0.01	0.02	0.07
LINC01346	0	0	0.1	0.01
LINC01347	29.14	20.1	24.48	30.13
LINC01349	0	0	0	0
LINC01350	0	0	0	0
LINC01351	0	0	0	0
LINC01352	0.41	0.4	0.08	0.34
LINC01353	0.28	0.26	3.56	1.6
LINC01354	0.23	0.01	0	0
LINC01356	3.57	0.59	0.75	0.61
LINC01358	1.44	1.65	0.58	0.69
LINC01359	0.59	0.04	0.02	0.05
LINC01360	0	0	0.01	0
LINC01361	4.03	0.11	0.07	0.13
LINC01362	0	0	0.1	0
LINC01363	0	0	0	0
LINC01364	0	0	0	0.05
LINC01365	0	0	0	0
LINC01366	6.54	3.57	1.15	1.45
LINC01370	0	0	0	0
LINC01372	0.69	0.27	0.12	0.21
LINC01375	0	0	0	0
LINC01376	0.45	0.53	1.29	0.62
LINC01377	0	0	0	0
LINC01378	0	0	0.13	0
LINC01381	0	0	0	0
LINC01384	0	0	0	0
LINC01385	0	0	0	0
LINC01386	0	0	0	0
LINC01388	0	0.07	0.14	0
LINC01389	0.52	0.11	0.29	0.2
LINC01391	0	0	0.18	0
LINC01392	0	0	0	0
LINC01393	0	0.23	0.55	0.45
LINC01398	0	0	0	0
LINC01399	0.28	0.04	0.04	0.21
LINC01400	0	0	0	0
LINC01402	0	0	0	0
LINC01405	0	0	0	0
LINC01410	0.55	0.76	2.59	1.4
LINC01411	4.91	0	0.24	0
LINC01412	5.02	0	0	0
LINC01419	0.25	0.3	0.29	0.26
LINC01420	42.27	52.48	43.23	46.5
LINC01422	0.41	0.39	0.79	0.85
LINC01423	0	0	0	0
LINC01424	0.12	0.09	0	0
LINC01425	0	0	0	0.09
LINC01426	0.19	0.5	0.05	0.1
LINC01427	0	0	0	0
LINC01428	0	0	0	0
LINC01429	0.17	0.07	0.16	0.17
LINC01430	0	0	0	0
LINC01431	0.11	0.73	0.77	0.89
LINC01432	0	0	0	0
LINC01433	0	0	0	0
LINC01435	0	0	0	0.03
LINC01436	2.79	131.59	0.03	0.05
LINC01438	0	0	0	0
LINC01440	0	0	0.05	0
LINC01441	2.28	0.96	1.04	0.91
LINC01442	0	0	0	0
LINC01445	0	0	0	0
LINC01446	2.64	0.3	0.03	0.01
LINC01447	0.61	0.66	1.33	1.34
LINC01448	0.05	0	0.15	0.22
LINC01449	0.04	0	0	0.02
LINC01450	0	0	0	0
LINC01455	0	0	0	0
LINC01456	0	0	0	0
LINC01460	0.12	0.11	0.29	0.28
LINC01465	0.41	0.28	0.26	0.38
LINC01468	0.03	0	0	0
LINC01470	0	0.11	0.08	0.06
LINC01471	0	0	0	0
LINC01473	1.37	0.69	0.92	0.41
LINC01474	4.33	13.65	0.05	0
LINC01483	0	0.04	0.08	0.06
LINC01484	0.01	0.22	1.01	0.16
LINC01485	0.09	0.44	0.04	0
LINC01487	0	0	0	0
LINC01492	0.19	0.1	0.09	0.28
LINC01493	0	0	0	0
LINC01494	0	0	0.02	0
LINC01495	0	0	0	0
LINC01496	0.06	0	0	0
LINC01497	0	0	0.08	0
LINC01498	0	0	0	0
LINC01499	0	0	0	0
LINC01501	0	0.18	2.78	0.95
LINC01502	0.04	0.03	0.12	0.14
LINC01503	1.19	0.24	0.47	1.15
LINC01504	2.13	0.42	0.76	0.75
LINC01505	0	0.34	0.02	0.03
LINC01506	0	0.18	0.66	0.49
LINC01507	0.97	0	0.72	0.56
LINC01508	0	0	0	0
LINC01509	0.07	0	0	0
LINC01510	0.79	0	0	0
LINC01511	0	0.04	0	0.03
LINC01513	0.18	0.24	0.64	0.51
LINC01514	0	0	0	0
LINC01515	0.55	0	0.1	0.05
LINC01516	0	0	0	0
LINC01517	0	0	0	0
LINC01518	0	0.36	0	0
LINC01519	0	0	0	0
LINC01520	0	0	0	0.03
LINC01521	0.2	0	0	0.08
LINC01522	0.14	0	0	0
LINC01523	0.06	0	0	0
LINC01524	0	0.08	0	0
LINC01525	0	0	0	0
LINC01526	0	0.15	0	0
LINC01527	0.4	0.12	0.18	0.22
LINC01529	0.1	0	0	0
LINC01531	0	0	0	0
LINC01534	1.04	1.05	1.77	1.5
LINC01535	0.06	0	0	0.05
LINC01537	0.02	0.29	0.36	0.51
LINC01545	0.21	0.25	0.05	0
LINC01546	0	0	0	0
LINC01547	1.1	0.86	1.07	1
LINC01548	0	0	0	0
LINC01549	0	0.03	0.07	0
LINC01550	0.32	1.26	4.7	7.09
LINC01551	0.08	0.15	0.09	1.09
LINC01552	0	0	0	0
LINC01553	0.02	0.01	0.27	0.04
LINC01554	0.17	0.04	0.62	0.49
LINC01555	0.02	0	0	0
LINC01556	0.12	0.23	0	0
LINC01558	0.03	0.08	0.02	0.04
LINC01559	0	0.01	0	0.02
LINC01560	1.43	0.66	1.07	0.71
LINC01561	0.02	0	0	0
LINC01562	0.09	0.08	0.22	0.18
LINC01563	1.03	1.25	0	0
LINC01564	0	0	0	0
LINC01565	0.01	0	0.03	0.05
LINC01567	0.01	0	0	0
LINC01573	0	0.07	0	0
LINC01574	0	0	0	0
LINC01585	0.02	0.06	0.02	0
LINC01586	0	0	0	0
LINC01587	11.19	0.28	0.12	0
LINC01588	0.75	3.33	6.52	5.5
LINC01589	0	0	0.1	0
LINC01591	0	0	0	0
LINC01592	0	0	0	0.03
LINC01593	0	0.07	0	0
LINC01594	0	0.42	0	0
LINC01596	0	0	0.27	0
LINC01597	0.46	0.05	0.05	0.08
LINC01598	0	0	0	0.05
LINC01599	0	0	0	0
LINC01600	0.06	0.01	0	0
LINC01602	0.07	0.04	0.17	0.1
LINC01603	0	0	0	0
LINC01604	6.77	3.88	2.3	2.55
LINC01605	0.96	0	0.31	0.27
LINC01606	0	0.93	0	0
LINC01608	10.87	0.95	0.15	0
LINC01609	49.66	24.77	42.71	50.91
LINC01611	0	0	0	0
LINCMD1	0	0	0	0
LINCR-0001	0.74	0.15	0.05	0.18
LINGO1	16.24	1.9	0.09	0.01
LINGO2	11.54	0.03	0	0.07
LINGO3	0	0	0.22	0.21
LINGO4	0	0.04	0.46	0.32
LINS	9.68	9.61	19.6	20.69
LIPA	60.91	140.28	91.52	210.9
LIPC	1.15	0.11	0.14	0.24
LIPE	0.37	0.27	2.74	2.07
LIPE-AS1	0.11	0.05	0.19	0.24
LIPF	0	0.21	0	0
LIPG	4.5	0.08	0.19	0.06
LIPH	0.05	0.9	0.24	0.12
LIPI	0	0.04	0	0
LIPJ	0.02	0	0.24	0.33
LIPK	0	0	0	0
LIPM	0.02	0.22	0.02	0.07
LIPN	0	0.14	0.16	0
LIPT1	10.7	5.68	10.76	7.08
LIPT1P1	0	0	0.02	0.09
LIPT2	2.46	3.79	3.13	1.76
LITAF	52.37	96.97	101.05	122.84
LIX1	0	0.01	0.16	0.09
LIX1L	20.57	11.71	15.37	9.53
LKAAEAR1	0	0	0	0
LL0XNC01-105G4.3	0.13	0.13	0	0
LL0XNC01-116E7.1	0	0.05	0.22	0.33
LL0XNC01-116E7.2	0	0.04	0.2	0.53
LL0XNC01-116E7.4	0	0.03	0	0.19
LL0XNC01-131B10.2	0	0.03	0.6	0.4
LL0XNC01-16G2.1	0	0	0.04	0
LL0XNC01-177E8.2	0	0	0	0
LL0XNC01-19D8.1	0	0	0.01	0.01
LL0XNC01-221F2.2	0.01	0	0.01	0
LL0XNC01-237H1.2	1.32	0.4	0.86	0.34
LL0XNC01-237H1.3	0.04	0	0.04	0
LL0XNC01-240C2.1	0	0	0	0.1
LL0XNC01-250H12.2	0	0	0	0
LL0XNC01-250H12.3	0.24	0.04	0	0
LL0XNC01-37G1.1	0	0	0.09	0
LL0XNC01-37G1.2	0	0	0	0.16
LL0XNC01-73E8.1	0	0	0.04	0
LL0YNC03-29C1.1	0	0	0	0
LL22NC01-116C6.1	0	0	0	0
LL22NC01-81G9.3	0	0	0	0
LL22NC03-102D1.16	0	0	0	0
LL22NC03-102D1.18	0	0	0	0
LL22NC03-104C7.1	0.31	5.67	0	0
LL22NC03-121E8.3	0	0	0	0
LL22NC03-121E8.4	0	0	0	0
LL22NC03-123E1.5	0	0	0.08	0
LL22NC03-13G6.2	0	0	0	0
LL22NC03-22A12.12	0.12	0	0	0
LL22NC03-22A12.9	0	0	0.03	0
LL22NC03-23C6.12	0	0	0	0
LL22NC03-23C6.13	0	0	0.07	0.06
LL22NC03-23C6.15	0	0	0	0
LL22NC03-24A12.8	0	0	1.07	0
LL22NC03-2H8.4	0.05	0	0.16	0.14
LL22NC03-30E12.10	0	0	0	0
LL22NC03-30E12.11	0	0	0	0
LL22NC03-30E12.13	0	0	0.46	0.08
LL22NC03-63E9.3	0.09	0.11	0.05	0
LL22NC03-75A1.9	0	0	0.09	0
LL22NC03-75H12.2	0	0	0	0.02
LL22NC03-80A10.11	0	0.01	0.07	0.18
LL22NC03-84E4.11	0	0	0.14	0
LL22NC03-84E4.8	0	0	0	0
LL22NC03-86D4.1	0	0	0	0
LL22NC03-86G7.1	0.26	0.41	0.16	0.07
LL22NC03-88E1.17	0	0.02	0.12	0.17
LLGL1	2.09	2.29	3.01	2.13
LLGL2	0.13	0.77	1.99	1.54
LLPH	48.3	35.02	41.21	36.96
LLPH-AS1	0	0.1	0.15	0.17
LLPHP2	0.08	0	0	0
LMAN1	66.88	36.55	30.88	25.74
LMAN1L	0	0	0.02	0.02
LMAN2	71.12	76.22	80.21	64.66
LMAN2L	23.6	8.3	9.32	5.18
LMBR1	76.89	16.62	19.91	18.08
LMBR1L	4.37	6.21	7.8	8.13
LMBRD1	51.4	16.39	52	49.81
LMBRD2	19.06	4.43	12.41	11.9
LMCD1	77.3	12.86	2.86	2.64
LMCD1-AS1	2.18	0.43	0.15	0.05
LMF1	1.65	1.42	1.32	2
LMF2	2.48	6.06	4.47	4.2
LMLN	9.01	2.79	1.02	1.79
LMLN-AS1	0	0	0.25	0
LMNA	139.47	183.37	3.7	8.21
LMNB1	36.79	30.99	83	35.85
LMNB2	11.57	8.72	13.07	8.23
LMNTD1	0	0	0.03	0.02
LMNTD2	0.25	0.36	0.8	0.74
LMO1	0.51	0.03	0	0
LMO2	0.64	4.74	38.05	13.65
LMO3	0	0.01	0	0.01
LMO4	39.34	10.13	22.03	13.98
LMO7	19.18	3.23	28.78	16.25
LMO7DN	0.04	0	0	0
LMO7DN-IT1	0	0	0	0
LMOD1	0.45	0.21	0.05	0.01
LMOD2	0.02	0.02	0.04	0.04
LMOD3	2.2	0.05	0.16	0.09
LMTK2	7.32	2.59	4.17	2.64
LMTK3	0.02	0.06	0.1	0.23
LMX1A	0	0	0	0
LMX1B	0.03	0.14	0.03	0.02
LNP1	10.74	8.98	1.07	1.39
LNPEP	8.08	8.95	32.15	26.53
LNX1	1.71	0.54	1.44	1.68
LNX1-AS1	0	0	0	0
LNX1-AS2	0	0.12	0	0
LNX2	9.86	2.34	5.95	4.98
LOH12CR1	2.99	2.46	2.25	2.04
LOH12CR2	3.6	1.11	0.79	1.15
LOH3CR2A	3.99	0.28	0.21	0.09
LONP1	15.76	9.07	9.57	7.8
LONP2	58.22	63.04	20.11	21.09
LONRF1	122.77	10.87	10.94	12.39
LONRF2	0.05	1.25	0.07	0.03
LONRF2P2	0	0	0	0
LONRF3	0.33	1.19	0.55	0.96
LOR	0	0	0	0
LOX	189.4	1.02	0.18	0.08
LOXHD1	0	0.03	0	0
LOXL1	0.34	0.45	0.06	0.07
LOXL2	11.93	0.98	8.16	4.1
LOXL3	32.12	12.83	1.43	1.81
LOXL4	80.68	30.24	1.93	0.16
LPA	0	0	0	0
LPAL2	0.07	0.36	0.96	0.97
LPAR1	0.17	0.51	0.56	0.63
LPAR2	0.8	1.69	3.92	3.54
LPAR3	0.02	1.2	0.3	0.04
LPAR4	0	0.01	0.1	0.02
LPAR5	0.31	1.31	13.94	10.57
LPAR6	58.65	18.89	21.44	30.3
LPCAT1	50.59	40	63.06	65.6
LPCAT2	29.57	9.26	1.28	2.28
LPCAT2BP	0	0	0	0.04
LPCAT3	13.84	12.12	15.16	13.2
LPCAT4	2.82	4.72	6.7	6.84
LPGAT1	33.04	16.41	23.64	21.38
LPIN1	7.61	12.98	24.01	26.58
LPIN2	14.31	9.64	16.56	21.03
LPIN3	2.01	2.28	0.17	0.14
LPL	149.17	0.65	1.2	1.35
LPO	0.06	0	0	0
LPP	17.64	12.59	35.64	20.5
LPP-AS1	0	0	0.06	0.34
LPPR2	4.25	3.08	0.35	0.35
LPPR3	0	0	0	0
LPPR4	0.94	0.1	0.1	0.01
LPPR5	5.66	0	0	0
LPXN	7.57	37.77	170.28	146.81
LRAT	2.32	5.95	0.04	0.04
LRBA	15.12	15.72	38.46	31.91
LRCH1	9.45	7.54	18.26	21.2
LRCH2	0.06	0.11	0.02	0.01
LRCH3	23.22	22.58	28.46	27.34
LRCH4	10.39	9.59	29.41	31.43
LRCOL1	0	0	0	0
LRFN1	0.31	0.31	0.32	0.31
LRFN2	0	0.01	0.04	0
LRFN3	1.13	1.75	1.11	1.36
LRFN4	0.07	1.45	0.1	0.18
LRFN5	0.02	0	0.01	0.01
LRG1	0.23	0.19	0.65	0.54
LRGUK	1	0.29	0.14	0.08
LRIF1	9.25	7.03	24.26	16.81
LRIG1	0.91	4.62	17.01	17.6
LRIG2	10.98	4.36	8.48	9.71
LRIG3	3	3.37	0.07	0.06
LRIT1	0	0	0	0
LRIT2	0	0	0.01	0.01
LRIT3	0.02	0.05	0.08	0.16
LRMP	1.17	9.05	128.94	95.11
LRP1	21.07	8.91	0.69	3.01
LRP10	7.79	11.55	21.08	18.06
LRP11	13.59	3.4	0.69	0.63
LRP12	33.77	16.81	2.48	1.29
LRP1B	0.01	0.01	0	0
LRP2	106.18	1.73	0.04	0.13
LRP2BP	0.48	0.53	0.45	0.84
LRP3	0.28	0.28	0.1	0.05
LRP4	19.71	2.11	0.04	0.05
LRP4-AS1	0.37	0.05	0	0.07
LRP5	3.14	3.84	0.49	0.59
LRP5L	0.15	0.6	1.54	1.37
LRP6	10.76	3.98	0.62	0.54
LRP8	6.66	6.09	4.99	4.57
LRPAP1	79.27	80.58	44.67	35.12
LRPPRC	167.1	73.94	89.1	78.41
LRR1	4.91	4.34	10.08	6.03
LRRC1	13.54	4.17	2.39	2.08
LRRC10	0	0	0	0.02
LRRC10B	1.17	0.16	0	0
LRRC14	4.98	5.21	8.97	8.65
LRRC14B	0	0	0.02	0
LRRC15	0.03	0	0.01	0.01
LRRC16A	18.54	12.73	6.53	4.82
LRRC16B	0.23	0.38	0.17	0.21
LRRC17	1.22	0.1	0.26	0.24
LRRC18	0	0.01	0.3	0.25
LRRC19	0.05	0.01	0.04	0.01
LRRC2	0.29	1.69	0.53	0.33
LRRC20	3.25	2.07	2.29	1.68
LRRC23	20.59	9.5	4.23	5.5
LRRC24	0.08	0	0	0.02
LRRC25	0.33	3.12	3.04	5.73
LRRC26	0	0	0	0
LRRC27	2.55	3.08	4.56	5.06
LRRC28	11.84	5.88	9.1	6.4
LRRC29	0.53	0.53	0.38	0.26
LRRC3	2.72	1.16	0.24	0.2
LRRC3-AS1	0.07	0.03	0	0.03
LRRC30	0	0	0	0
LRRC31	0	0	0.01	0.01
LRRC32	0.54	2.18	1.81	1.44
LRRC34	1.21	0.35	1.97	3.45
LRRC34P2	0	0	0	0
LRRC36	0.04	0.08	0.09	0.09
LRRC37A	5.47	4.53	8.93	8.43
LRRC37A11P	0.22	0.05	0.05	0.08
LRRC37A12P	0	0	0.01	0
LRRC37A14P	0.12	0	0	0.05
LRRC37A15P	0.57	0.47	1.37	2.18
LRRC37A2	4.61	4.08	11.38	9.8
LRRC37A3	1.72	1.16	2.02	1.54
LRRC37A4	20.28	16.99	29.33	32.94
LRRC37A4P	0.37	0.6	1.11	0.68
LRRC37A5P	0	0	0	0.02
LRRC37A6P	0.4	0.19	0.34	0.32
LRRC37B	3.73	2.33	3.55	5.76
LRRC37BP1	0	0	0.26	0.74
LRRC38	0	0	0.12	0.01
LRRC39	5.5	0.68	0.33	0.24
LRRC3B	0	0	0.02	0
LRRC3C	0	0	0	0.05
LRRC4	0.73	0.57	1.34	0.84
LRRC40	13.95	4.75	11.28	8.43
LRRC41	21.58	13.68	10.92	8.96
LRRC42	13.02	12.78	8.93	4.8
LRRC43	0	0.21	0.01	0
LRRC45	1.46	1.94	1.61	1.34
LRRC46	0.44	0.3	0.28	0.37
LRRC47	38.54	11.14	13.98	12.16
LRRC48	0.78	0.22	1.15	0.76
LRRC49	1.68	0.76	0.38	0.13
LRRC4B	0.2	0.02	0.01	0
LRRC4C	0.01	0	0.03	0
LRRC52	0.04	0.2	0	0
LRRC53	0	0	0	0
LRRC55	0	0	0	0.01
LRRC56	0.12	0.14	0.57	0.41
LRRC57	10.91	6.08	7.84	6.85
LRRC58	24.85	10.36	10	8.28
LRRC59	53.63	33.26	22.61	18.43
LRRC6	3.9	3.13	0.63	0.23
LRRC61	0.87	1.04	4.28	4.25
LRRC63	0.03	0.11	0.03	0.19
LRRC66	0.04	0.07	0.11	0.11
LRRC69	0.55	0.66	0.76	1.34
LRRC6P1	0	0	0	0
LRRC7	1.57	0	0	0.06
LRRC70	0.55	0.35	0.52	0.58
LRRC71	0.11	0	0	0
LRRC72	0	0	0	0
LRRC73	0.05	0.37	0	0
LRRC74A	0	0	0	0
LRRC74B	0.03	0.08	0.02	0.08
LRRC75A	0.33	1.31	1.57	0.96
LRRC75A-AS1	511.69	218.43	458.46	404.02
LRRC75B	1.47	1.4	0.29	0.06
LRRC8A	5	3.2	4.96	4.37
LRRC8B	7.96	4.67	6.04	6.35
LRRC8C	3.72	7.12	8.56	8.81
LRRC8D	22.62	32.7	35.77	37.87
LRRC8E	0.45	0.58	0.02	0.01
LRRC9	0.01	0	0	0
LRRCC1	21.7	7.57	5.11	3.62
LRRD1	9.65	10.26	1.84	1.26
LRRFIP1	86.27	34.3	91.71	68.61
LRRFIP1P1	1.28	0.65	1.85	2.11
LRRFIP2	46.94	42.94	22.73	17.26
LRRIQ1	0.21	0.02	0.15	0
LRRIQ3	2.79	0.73	0.92	1.69
LRRIQ4	0.04	0	0.08	0.06
LRRK1	0.76	2.37	13.61	11.11
LRRK2	4.24	11.1	12.53	18.16
LRRN1	0.12	0.15	0.83	1.83
LRRN2	0.04	2.49	0.44	0.37
LRRN3	2.68	0.34	0.99	4.79
LRRN4	0	0	0	0
LRRN4CL	17.9	2.02	0.17	0.15
LRRTM1	1.87	0	0.04	0
LRRTM2	2.97	0	0.02	0
LRRTM3	0.01	0	0.01	0
LRRTM4	33.81	0.38	1.07	0.35
LRSAM1	1.3	3.07	4.08	6.23
LRTM1	0	0	0.02	0.11
LRTM2	0	0	0	0
LRTOMT	0.78	0.3	0.25	0.28
LRWD1	4.36	4.95	7.39	4.85
LSAMP	57.34	1.23	0.75	0.25
LSAMP-AS1	0.25	0	0	0
LSG1	36.24	24.37	22.59	22.81
LSM1	56.69	14.59	25.71	21.44
LSM10	22.71	19.78	60.8	47.62
LSM11	1.9	0.91	1.17	1.21
LSM12	23.65	22.02	19.42	19.12
LSM12P1	25.4	24.53	25.04	20.15
LSM14A	67.91	37.21	99.47	87.14
LSM14B	9.59	10.72	15.68	12.54
LSM1P1	0	0	0	0
LSM2	36.32	35.26	41.67	40.33
LSM3	27.26	19.73	17.25	15.75
LSM3P3	0	0	0	0
LSM3P4	0	0	0	0
LSM4	51.6	28.44	33.48	27.48
LSM5	77.08	31.91	45.64	38.52
LSM6	17.06	24.49	68.03	47.42
LSM7	24.33	21.46	40.97	34.12
LSM8	102.79	74.23	126.49	83.52
LSMEM1	0.77	0.21	0.11	1.13
LSMEM2	0.04	0.29	0	0
LSP1	6.73	57.33	204.7	190.25
LSP1P2	0	0	0.68	0
LSP1P3	0	0	0	0
LSR	0.27	1.96	6.27	5.9
LSS	6.4	5.05	6.47	5.49
LST1	10.26	33.19	41.51	76.21
LTA	0.56	3.49	34.58	35.92
LTA4H	61.26	76.2	124.34	124.08
LTB	1.77	21.81	364.19	304.62
LTB4R	0.78	1.31	1.93	2.82
LTB4R2	0.29	0.6	1.23	0.86
LTBP1	3.32	2.62	1.4	0.91
LTBP2	0.65	0.67	0.27	0.21
LTBP3	26.87	14.63	16.04	23.82
LTBP4	7.35	4.1	2.9	3.5
LTBR	26.33	18.04	1.92	3.62
LTC4S	0	0.02	0.11	0.12
LTF	0	1.7	0.25	0.2
LTK	0.68	0.13	0.37	0.66
LTN1	23.08	5.96	14.92	12.46
LTV1	37.68	16.84	27.05	27.71
LTV1P1	0	0	0	0
LUC7L	15.4	13.71	15.21	14.2
LUC7L3	82.42	53.58	79.67	51.76
LUCAT1	0.3	0.05	0.19	0.03
LUM	1.48	2.12	0.01	0.1
LURAP1	3.25	2.16	0.03	0.01
LURAP1L	2.42	0.35	0.03	0
LURAP1L-AS1	0.96	0.18	0	0
LUZP1	37.62	8.03	6.99	6.44
LUZP2	0.08	0	0.01	0.01
LUZP4	0.01	0.18	0	0
LUZP4P1	0	0	0	0
LVRN	0.12	0.07	0.06	0.09
LXN	10.97	15.1	6.83	4.95
LY6D	0	0	0	0
LY6E	51.93	407.15	45.79	33.81
LY6G5B	2.71	3.74	5.18	5.45
LY6G5C	1.34	1.49	1.62	3.49
LY6G6C	0	0.02	0.05	0
LY6G6D	0	0	0.16	0
LY6G6E	0	0	0.08	0
LY6G6F	0	0	0	0
LY6H	0	0	0	0
LY6K	15.07	1.29	0.03	0.2
LY75	1.32	7.79	43.17	30.17
LY75-CD302	0.09	0.5	4.57	3.54
LY86	3.47	22.9	143.43	101.71
LY86-AS1	0.01	0.1	2.25	2.12
LY9	3.22	56.4	124.96	198.25
LY96	74.75	40.72	20.7	22.09
LYAR	24.74	19.19	20.56	14.62
LYARP1	0	0	0	0.01
LYG1	0.14	0.25	0.49	0.87
LYG2	0.04	0	0	0.05
LYL1	0.22	0.43	9.81	6.37
LYN	5.05	9.49	74.04	89.37
LYNX1	6.61	1.55	0.15	0.13
LYPD1	2.05	19.13	0.08	0.31
LYPD2	0	0	0	0
LYPD3	0.83	1.8	1.38	3.74
LYPD4	0	0	0	0
LYPD5	1.27	1.76	0.03	0.08
LYPD6	0.46	0.84	0.06	0
LYPD6B	0.04	0.35	2.45	1.26
LYPLA1	114.49	52.33	71.92	59.44
LYPLA1P1	0	0	0	0
LYPLA1P2	0	0	0	0
LYPLA1P3	0	0	0	0
LYPLA2	46.27	24.47	33.73	28.05
LYPLA2P1	0	0	0	0.04
LYPLA2P3	0	0	0	0
LYPLAL1	79.96	36.46	47.63	26.87
LYPLAL1-AS1	0.89	0.1	0.32	0.43
LYRM1	23.18	15.4	30.93	30.94
LYRM2	55.54	14.57	22.19	26.86
LYRM4	24.84	18.28	18.06	18.22
LYRM5	25.85	10.13	12.4	15.86
LYRM7	14.75	4.27	10	8.34
LYRM9	10.47	3.86	8.19	7.04
LYSMD1	10.04	3.3	2.69	1.75
LYSMD2	6.67	8.39	43.07	26.71
LYSMD3	15.87	11.43	19.68	14.41
LYSMD4	1.48	1.07	0.97	1.28
LYST	109.55	76.47	26.14	19.42
LYST-AS1	0.74	0.15	0.11	0
LYVE1	0.58	0.2	0.7	0.52
LYZ	19.28	451.56	294.05	765.459
LYZL1	0.06	0	0	0
LYZL2	0	0	0	0
LYZL4	0	0	0	0
LYZL6	0.05	0	0	0
LZIC	105.22	24.33	21.75	21.14
LZTFL1	25.29	22.67	17.89	15.5
LZTR1	4.91	14.88	14.11	15.29
LZTS1	35.91	5.93	0.77	0.06
LZTS1-AS1	0.06	0	0	0
LZTS2	9.49	9.8	3.7	2.32
LZTS3	1.29	2.04	0.22	0.5
M1AP	0.27	1.51	0.64	0.12
M6PR	72.12	105.36	120.3	95.42
MAATS1	3.22	2.3	0.59	0.04
MAB21L1	0.06	0	0	0.11
MAB21L2	0	0.01	0.02	0.01
MAB21L3	3.26	1.7	2.53	2.98
MACC1	0.1	0.58	1.45	1.28
MACC1-AS1	0	0	0	0
MACF1	72.26	43.55	62.14	77.3
MACROD1	4.09	6.34	0.43	0.22
MACROD2	6.65	2.06	18.15	12
MACROD2-AS1	0	0	0	0
MACROD2-IT1	0	0	0	0
MAD1L1	38.44	11.31	19.46	15.34
MAD2L1	28.08	12.04	25.35	12.89
MAD2L1BP	15.17	25.61	10.28	9.1
MAD2L2	33.52	23.53	17.35	14.81
MADCAM1	0.06	0	0	0
MADD	18.52	16.51	38.49	33.1
MAEA	12.34	5.42	12.32	11.97
