gene	Hugo_Cell_2016-Pt1	Hugo_Cell_2016-Pt2	Hugo_Cell_2016-Pt4	Hugo_Cell_2016-Pt5	Hugo_Cell_2016-Pt6	Hugo_Cell_2016-Pt7	Hugo_Cell_2016-Pt8	Hugo_Cell_2016-Pt9	Hugo_Cell_2016-Pt10	Hugo_Cell_2016-Pt12	Hugo_Cell_2016-Pt13	Hugo_Cell_2016-Pt14	Hugo_Cell_2016-Pt15	Hugo_Cell_2016-Pt19	Hugo_Cell_2016-Pt20	Hugo_Cell_2016-Pt22	Hugo_Cell_2016-Pt23	Hugo_Cell_2016-Pt25	Hugo_Cell_2016-Pt27A	Hugo_Cell_2016-Pt27B	Hugo_Cell_2016-Pt28	Hugo_Cell_2016-Pt29	Hugo_Cell_2016-Pt31	Hugo_Cell_2016-Pt32	Hugo_Cell_2016-Pt35	Hugo_Cell_2016-Pt37	Hugo_Cell_2016-Pt38
MRPL10	25.3651	32.92415	45.83495	38.11345	30.146	16.1758	29.8982	25.35845	29.44355	18.64095	24.4431	25.6043	20.4285	64.5376	16.29515	30.37005	17.4406	36.70765	22.8427	21.7005	23.6508	17.6284	50.2891	22.1182	31.2161	69.8697	25.9972
MRPL11	14.4905	19.13165	25.46545	20.4266	8.49167	12.9404	14.01895	18.1993	16.96185	10.03465	10.95845	20.5018	29.9504	26.57975	18.0322	15.8336	11.6668	44.3813	22.5105	18.2612	35.6618	18.82895	52.3454	12.7355	31.396	54.8808	29.7707
MRPL13	31.1846	45.9682	24.58105	31.2181	24.4007	31.40775	41.57905	65.1457	48.86645	37.45065	65.07815	31.2039	52.35015	11.9225	37.4006	38.4849	41.2923	25.50285	26.91025	23.7493	55.32575	32.7085	15.9623	37.714	45.1586	28.4787	27.2194
MRPL15	26.7332	36.55065	37.35335	25.4364	25.6568	29.812	44.69135	46.09905	44.1345	40.45995	18.0891	22.9507	40.7963	11.62805	29.8922	31.0574	37.15295	66.3009	24.9244	25.4827	43.04925	46.22765	31.8235	32.8641	25.972	42.9422	24.2686
MRPL16	24.2511	25.2744	25.3714	39.79085	24.78135	25.7615	31.06725	36.505	36.9571	27.9434	22.3969	26.92045	43.757	18.94095	37.41745	32.7492	23.281	38.88625	33.96095	31.1916	37.061	18.62785	19.4135	23.721	61.8706	83.0504	45.7894
MRPL17	22.27135	15.57875	23.1519	35.13755	44.17525	46.27855	14.83655	28.8159	32.9622	35.0371	26.80405	37.0973	20.8862	36.1713	17.11095	24.3276	22.08535	23.9725	12.262	10.296595	22.91455	25.55785	40.753	16.8891	21.037	54.8626	26.3379
MRPL18	28.99865	48.07335	35.54685	35.65075	44.56445	49.2651	58.9494	47.90935	40.45145	25.0647	41.8796	74.32695	69.44445	26.149	34.2619	31.1166	41.9839	73.74915	37.05745	35.7916	64.6555	37.23985	98.4263	22.9989	47.5322	77.2127	37.9031
MRPL19	8.99763	10.93415	10.4203	12.574	10.1825	7.46786	5.03898	5.52109	8.59495	5.80025	8.406265	10.115485	3.535865	6.43918	4.481555	9.072515	6.91498	3.892355	7.501355	8.49132	7.57438	7.00896	3.88207	6.16189	8.92724	4.0536	7.39446
MRPL2	22.36905	29.1134	22.8441	53.35605	15.6719	25.5945	32.0558	39.26785	17.0018	12.4276	19.21315	29.41405	57.03425	71.07965	31.4134	23.16115	38.4149	142.8255	15.42135	13.11715	36.1721	34.33285	70.4748	28.15	39.7554	80.1829	19.8915
MRPL20	111.0575	114.7295	84.54125	93.4833	75.7029	130.2445	143.2115	159.1795	80.68365	156.862	143.301	132.3185	124.8185	177.716	146.459	119.2705	177.9175	371.0115	80.7426	68.44785	242.088	74.6215	297.551	149.451	208.005	143.327	126.011
MRPL21	26.6518	45.22145	66.395	42.57795	43.3306	48.12055	47.34205	59.1318	38.4879	24.2084	30.32455	59.4295	77.43995	43.8214	54.335	41.9758	112.593	134.6855	40.32775	32.53335	96.67655	58.2946	58.4045	45.1632	60.0803	171.065	59.5136
MRPL22	7.696	10.84285	10.23465	10.37555	7.43518	6.36139	3.203395	9.05358	8.79037	4.669365	7.152295	6.85817	9.134225	5.949945	4.9626150000000004	11.4612	7.756765	11.9595	6.079365	5.543645	9.06041	5.934225	9.57301	3.46904	7.16154	15.1682	8.99556
MRPL23	28.17685	40.60275	36.0796	81.215	43.5972	157.2605	93.19915	57.0069	43.0741	23.32825	31.2393	70.02795	82.82425	152.103	85.36145	25.34085	47.4678	252.765	103.819	90.14065	118.4385	67.6714	254.878	54.6437	36.6172	295.062	89.9183
MRPL24	96.50235	150.021	138.8015	68.03665	56.7924	92.3183	94.29085	106.108	90.7739	77.03685	74.42065	75.83825	126.397	202.6025	124.438	68.34825	152.5785	525.615	44.7797	39.75615	80.7147	42.06245	288.525	44.0331	78.8051	241.915	60.2225
MRPL27	38.2634	67.351	78.27155	40.1391	67.1569	66.02645	63.46975	53.9367	42.46525	36.0392	53.52195	61.65865	125.2165	119.341	94.43365	60.15505	100.84215	168.0415	32.9997	28.9469	149.056	52.7171	149.366	75.2375	84.8607	184.365	56.5355
MRPL28	32.7333	14.9825	46.59485	65.5794	20.4244	75.07465	86.3519	81.2669	46.33935	37.8147	32.47885	63.23985	56.14085	96.17955	46.2842	28.8223	58.44435	226.302	41.3907	36.44535	98.65175	37.7706	110.833	50.6661	46.7122	79.7712	53.5086
MRPL3	53.06065	47.8124	74.1681	57.8626	46.0214	60.35885	42.66	44.45745	62.7879	32.41125	31.39765	67.0065	70.42915	51.7732	56.31245	42.3773	47.0388	36.95875	48.2193	48.81915	49.48405	70.3511	42.6059	16.8763	65.8684	44.0313	36.6558
MRPL30	8.44221	19.3522	13.06445	13.7278	10.46605	15.59435	7.94734	10.9343	20.8868	10.25954	7.67539	10.784	11.3381	10.1669	10.6959	10.2719	13.9351	8.99103	14.6638	16.16745	12.1525	8.459955	7.93005	6.62065	18.0547	12.4799	8.42189
MRPL32	35.248	77.41625	49.26355	26.71485	27.6394	103.9115	60.21915	95.63975	90.0788	44.61935	50.04175	39.14245	106.0445	34.38575	44.43725	38.94485	70.7768	37.7735	24.87975	27.1895	88.24665	76.20635	27.4042	37.9262	39.1641	33.8557	22.4898
MRPL33	168.6885	217.912	233.2125	151.5185	130.88	139.1185	104.77945	135.8745	122.922	152.276	178.439	176.237	203.7825	308.371	136.7305	172.333	161.6845	138.4575	92.15825	92.56665	122.517	122.0775	126.207	179.638	147.148	143.582	81.2667
MRPL34	61.7918	100.21805	36.2665	98.06655	44.6736	79.7348	68.16655	71.6369	51.96025	55.4639	40.3028	57.5267	123.158	79.9774	73.32765	39.0498	78.932	129.3125	44.9817	44.06175	60.10565	84.3472	75.5345	89.4059	58.78	140.076	58.4203
MRPL35	17.6254	32.40155	20.3856	19.6425	22.75635	22.5501	17.90155	18.71085	15.41985	22.8276	13.6229	13.40085	25.6572	12.34685	17.54165	22.3306	22.9349	22.4474	11.93025	12.84565	15.671	16.01755	12.7484	11.015	28.8141	19.2683	15.0957
MRPL36	43.2754	47.5843	30.2855	47.8333	20.17695	75.3955	41.25705	51.99125	75.65905	38.3534	32.3463	72.482	101.9057	58.96245	50.25715	23.117	90.44355	80.46195	30.12505	25.69045	98.94105	34.7821	64.3002	77.2748	31.8574	112.064	38.0055
MRPL37	55.63025	55.54945	36.3198	50.5322	45.72695	70.7759	63.4385	58.1826	49.3207	49.4952	35.09785	75.14885	75.0435	226.541	36.34495	37.0873	60.61145	101.67385	64.9372	56.04565	90.53585	35.33075	85.9307	44.3345	93.7851	95.2567	57.9231
MRPL38	21.802	31.33195	21.3249	25.1748	13.4632	31.4355	64.4739	32.60215	25.45885	15.17615	14.16895	29.3831	31.57815	113.8075	42.2539	16.2748	23.38755	68.84635	29.7168	26.2424	45.1995	12.81075	96.1577	53.4539	53.4831	117.909	42.8012
MRPL39	21.8279	30.9981	16.52725	35.35635	71.64445	21.1767	13.9421	22.673	40.76295	39.95	20.466	20.46015	21.8121	16.0787	12.54455	21.76375	25.49545	15.48735	12.1847	10.48865	23.99485	26.85395	7.25141	8.02326	16.4391	19.1014	24.0474
MRPL4	29.1297	40.7043	30.4092	44.82825	22.43145	51.83045	82.1478	70.1971	41.3677	26.3207	24.067	99.1586	95.2381	118.369	41.8519	27.57615	64.7524	120.1655	32.09015	26.6461	107.4355	60.0713	117.603	53.397	41.5346	89.2462	51.8781
MRPL40	40.13495	52.42555	42.4685	48.5157	24.0409	71.3301	33.1846	92.02115	79.54505	59.74555	18.9089	40.5862	73.6597	101.7545	66.40145	28.82825	29.0687	85.1599	32.4607	26.042	49.8807	49.71945	92.6901	68.1724	68.3888	92.1171	109.297
MRPL42	15.25625	18.45285	22.87455	23.8844	21.463	7.65498	12.59365	14.1582	25.31495	35.4568	23.08875	21.2784	15.65615	12.363	11.5664	20.39325	13.8735	12.62595	12.94435	14.26805	14.2256	18.35045	7.01233	8.80996	12.773	15.2643	12.2828
MRPL43	48.11765	88.64935	59.32805	70.21295	42.49725	62.71085	51.86135	68.74755	30.8265	73.66225	35.89365	106.998	92.2556	140.9385	58.00195	37.0219	64.9579	77.51195	43.51895	44.9053	91.55405	48.30245	49.6289	36.9986	35.3173	90.5928	41.8844
MRPL45	24.23335	42.70945	46.78965	36.74255	44.3864	18.1282	15.31375	21.95955	32.29845	14.2908	14.53945	26.18305	19.6804	26.2827	13.7602	19.75545	11.76065	28.31695	31.62825	37.23365	26.2589	23.3693	19.0666	14.8065	26.9353	58.818	16.8277
MRPL46	18.49315	28.57865	19.3872	24.79635	24.45895	13.19565	12.8536	31.986	9.80455	21.29645	11.7583	11.6743	23.22855	14.2894	15.33325	13.3871	10.1926	17.43955	12.65215	10.32465	47.49975	14.8581	16.9735	13.1532	34.1127	20.7207	16.9909
MRPL47	23.9608	22.5654	35.88195	24.9964	25.12	39.75375	28.6416	24.755	37.8575	30.41725	26.39495	51.7851	37.3239	30.959	29.6962	26.25595	34.94335	26.2127	24.2666	22.61655	44.34565	39.2821	44.5463	13.683	40.9054	35.1169	30.5849
MRPL48	16.2399	19.99485	26.17265	24.7522	12.4249	24.2061	16.45375	12.80865	15.3117	14.28865	15.44395	29.40695	26.7766	10.8364	15.7234	14.03895	32.5767	60.4898	24.36905	24.2765	24.54695	25.5248	10.0637	17.4445	15.6854	36.09	28.0638
MRPL49	18.12865	21.41185	19.7729	23.7308	20.154	20.6414	22.82055	37.384	21.17455	17.8231	25.703	23.902	25.2434	16.42345	19.5408	23.3167	13.09355	11.3357	25.4013	23.5976	42.719	19.0046	13.5746	29.8769	39.9513	36.7449	30.9637
MRPL51	178.8015	235.8395	184.015	169.877	120.116	437.3315	189.261	225.8945	152.9725	341.9005	146.5	186.146	221.8955	220.012	224.618	177.0105	168.414	283.221	112.7515	96.25965	306.71	149.0845	133.679	176.197	179.523	116.991	148.738
MRPL52	36.4926	52.2432	40.28575	47.19865	55.2879	41.60505	27.72855	47.3451	20.8529	59.5888	37.2272	42.74915	60.4111	44.0921	44.1407	30.83395	35.7364	57.6724	32.04315	26.17245	83.34655	31.22955	86.7969	48.6665	49.2101	78.6108	31.9085
MRPL54	32.46635	56.69215	24.74065	49.63805	22.46495	54.9961	46.87285	66.30875	32.57445	22.24585	24.75925	50.879	80.31335	108.9955	65.72565	36.5243	37.3901	122.2785	46.14425	35.0592	90.3343	49.61185	81.2047	54.2556	42.739	100.239	66.4639
MRPL55	41.18705	40.1453	38.98135	29.7741	20.09355	67.1108	55.0853	55.6922	38.65665	41.98345	39.09205	28.35915	91.12555	190.592	68.55885	32.78635	34.77535	234.6715	36.8553	30.9744	63.23115	20.98695	133.587	76.514	54.3814	109.368	40.0122
MRPL9	34.8336	41.0488	58.8897	39.72345	19.64535	37.7908	24.7713	23.75125	34.31575	39.77365	23.0667	46.16355	34.1352	46.17185	45.5509	22.87635	53.6976	91.5216	24.22005	24.6402	59.683	28.9375	57.8188	25.8778	46.0854	49.6937	35.4213
MRPS11	17.91055	19.94685	19.19365	29.11395	28.574	19.22235	16.0632	31.18705	14.6817	27.6871	14.10885	14.76675	29.96465	34.97675	15.7439	17.11385	16.07485	28.27255	12.03765	9.26058	35.65155	14.39875	40.916	15.8655	29.1348	26.3807	20.5224
MRPS12	33.9254	41.4791	33.7029	42.45005	24.7659	59.95005	69.9225	52.351	36.63075	28.1411	22.0782	59.1017	91.66615	178.2305	46.34885	25.9952	106.666	147.9575	34.37105	25.01415	89.3685	44.1249	137.175	36.4761	46.2746	92.1424	39.4343
MRPS14	16.9164	23.3537	30.26165	15.2081	12.3818	8.914905	10.2169	12.7091	23.0177	11.91195	19.52045	6.025275	13.3232	14.9399	16.17505	22.2728	12.1566	20.45735	5.41821	5.106665	9.855185	12.80365	10.4663	10.8019	13.7132	12.3793	10.8158
MRPS15	57.2633	59.91475	30.21455	51.21065	35.58725	90.74465	62.06145	68.9904	44.66845	45.12945	40.28415	60.80895	113.2775	60.6104	55.31345	44.0706	89.6055	116.1015	51.5296	44.62635	127.7865	41.5767	109.798	35.0069	88.6992	86.1742	54.5567
MRPS16	28.29745	39.32245	45.25875	37.1265	38.7679	20.37825	25.8007	23.8261	24.2755	33.9525	16.6697	39.1281	37.5398	43.9092	21.63385	26.3368	33.32605	38.0751	37.099850000000004	33.39625	42.41275	35.4431	71.2766	19.5177	32.9294	55.6807	36.4116
MRPS17	27.06235	38.91535	36.5024	22.9213	24.57245	79.1999	47.467	44.0903	34.4237	32.38705	24.12465	25.31775	52.99845	29.65985	25.3249	24.86555	38.98545	37.2868	21.6549	21.34995	44.67405	48.67525	80.7165	26.1551	23.4415	42.9232	18.7847
MRPS18A	26.2057	29.45215	47.4287	80.0036	22.80605	28.0654	29.62235	32.0227	25.1096	19.2723	86.9749	20.2782	46.69205	61.6897	29.6318	40.5599	25.78545	69.5587	21.47715	18.98485	45.2464	29.74105	63.1673	35.3041	61.0647	45.2983	25.2626
MRPS18B	5.6394	6.458215	13.60915	14.6097	10.54395	3.1495	5.15549	6.22136	5.299995	4.529795	7.52471	5.49228	7.453775	6.66979	4.57907	7.34769	5.68253	10.35988	6.32208	6.363065	5.771465	6.63335	8.7422	4.06163	6.98657	14.2651	3.74578
MRPS18C	19.54615	31.0966	20.50075	39.82265	27.1839	20.0997	24.5499	34.52015	15.6301	29.27385	24.1924	24.05945	19.95225	20.4111	24.3985	22.48265	21.4546	10.35805	17.8311	14.8767	32.41175	25.41165	10.3007	10.2212	16.1413	17.3039	21.9395
MRPS2	13.298	23.5594	28.56865	16.4047	42.9854	31.0044	30.6707	17.41095	28.8677	13.7953	13.0199	54.5517	51.3392	49.67555	20.9029	18.9637	43.2308	72.5471	30.0478	25.1918	36.802	29.6381	146.655	16.8211	32.6452	44.102	28.2732
MRPS21	79.36185	124.001	161.96	128.6295	48.07545	79.91115	61.0391	80.7982	106.9975	67.70585	76.45875	36.60675	146.1955	171.1355	112.3835	79.0272	35.872	404.5185	30.2962	26.23775	103.589	62.15795	106.405	98.413	55.9013	200.361	64.887
MRPS22	16.87385	28.99425	25.77815	28.31985	26.7413	22.32075	19.1858	26.69175	26.50835	16.2478	19.69205	26.61875	31.29065	20.29275	24.70985	23.98595	21.71105	14.65125	24.91105	24.4649	43.9886	32.56535	21.9129	7.9904	38.2126	22.3749	19.4574
MRPS23	49.0219	53.6749	48.36125	39.41835	24.88625	25.51245	38.07235	35.84495	35.58915	21.89685	26.88145	34.73345	40.37365	27.738	27.53395	29.1312	30.5764	26.52565	19.9265	16.92785	35.11315	32.65285	31.1612	24.9582	38.5978	42.713	23.8315
MRPS24	72.58525	133.967	128.168	70.5153	40.2442	246.485	215.8815	179.6355	114.309	64.59475	64.61105	98.0318	234.185	445.123	99.30975	68.352	127.18	286.091	71.47895	63.6954	156.508	120.6085	340.536	110.044	92.6056	201.774	78.7819
MRPS25	12.319	15.95115	30.9185	13.1634	26.8814	10.119705	12.39785	12.87305	11.68345	8.77467	6.98681	7.584705	26.45725	18.90695	12.753	11.11115	12.9346	63.9527	14.34835	22.8153	11.162965	20.81335	9.73898	3.91869	7.76826	14.942	10.8203
MRPS27	27.44075	39.9153	35.7907	28.5088	22.99035	10.6473	21.5641	25.227	25.1533	15.5191	16.9333	22.91135	31.30555	10.21295	15.1492	15.6596	17.6345	33.31315	32.72525	36.569	24.39555	19.1691	19.3375	14.9514	13.2318	59.1728	27.4234
MRPS28	32.2257	79.9388	51.1732	35.81215	54.428	36.42445	56.22035	67.2629	60.7424	56.07505	63.4747	47.4795	74.4414	25.31885	69.1868	56.71345	72.3885	59.0122	30.0407	26.97805	58.4099	49.914	23.7231	60.8631	50.8059	54.0606	29.1093
MRPS30	17.17435	19.67985	15.57235	16.8036	21.77895	14.63725	19.58095	24.9309	22.20585	16.31155	10.03506	28.76215	25.8617	7.4558	12.94555	11.3878	28.23165	16.88665	23.46455	24.6394	14.0885	11.4642	11.9842	17.9209	10.6587	21.2406	15.94
MRPS31	10.851	15.85805	13.8682	18.873	28.1051	13.60125	13.8675	14.01855	7.516005	7.761805	10.03291	11.2525	13.21175	6.997715	15.33125	13.6955	7.11163	15.2268	13.62255	15.24925	17.54705	16.23585	7.16619	11.4423	12.3956	10.5453	13.8515
MRPS33	44.7614	98.84815	122.444	36.90505	142.535	44.4396	124.9635	86.05955	41.8365	166.843	50.01655	50.5337	139.086	106.9495	62.8715	88.4763	103.1485	79.32195	21.31895	17.46545	65.03535	91.852	87.1475	41.1522	402.907	112.239	53.0615
MRPS34	66.3155	64.38485	48.74245	95.82915	41.26935	97.3606	147.2015	96.1665	55.0331	61.80445	40.83135	104.447	122.3975	87.0821	72.10345	38.89105	96.9374	294.9045	64.3806	53.0894	120.243	51.55025	225.799	94.1792	113.704	139.139	103.55
MRPS35	29.83705	46.6274	26.5876	34.671	31.83245	33.19625	21.91675	28.98935	33.4919	33.33155	21.8628	39.1637	25.37275	15.361	21.85365	26.55045	25.30045	24.0838	28.46775	26.8289	34.77205	22.8812	8.40799	12.3647	48.4879	20.7584	27.3348
MRPS36	22.503	42.48565	35.85485	32.68525	37.13925	15.30585	12.87535	23.31415	19.41535	15.8272	23.04395	12.7027	25.88415	23.93495	15.78855	24.03025	17.16815	35.0099	17.1153	17.821	17.48345	22.88685	18.3971	13.7628	11.9082	51.8932	17.8513
MRPS5	29.0229	37.0948	28.70675	37.1457	30.28285	37.73145	23.7034	17.8978	53.5429	25.97455	20.29	36.4789	30.24135	37.0643	28.9291	22.4122	51.15085	54.9093	23.01775	20.44245	38.3745	22.62255	108.584	47.9968	46.7422	78.5653	40.5945
MRPS6	235.087	51.03355	53.32845	274.042	60.93135	21.92795	38.3765	220.5755	634.6515	74.52345	112.8825	73.7796	57.35355	28.33745	50.7189	44.375	56.6911	49.11945	23.6119	23.15045	80.41605	30.4161	36.8822	138.328	29.9431	103.743	87.6247
MRPS7	32.68755	68.68055	52.4549	31.05905	35.0584	25.4713	67.34045	44.25615	36.32015	25.69855	29.4302	25.3707	58.06825	46.05285	49.9192	39.993	42.85185	47.0675	33.70965	30.0488	64.21485	57.76015	79.3132	45.8536	64.7302	64.1672	36.9673
MRPS9	18.0074	22.93855	19.33935	12.77405	16.11815	17.09475	14.2287	16.1974	27.3509	14.83745	12.52885	16.24925	12.73595	17.75945	14.28075	15.1215	34.6366	21.83315	16.16285	15.07095	23.28465	10.7506	13.9599	10.6481	19.8425	15.6362	14.7456
MRRF	5.312705	11.7507	12.288	4.989875	9.047555	10.13158	15.41845	8.63738	15.0153	7.59382	5.700805	10.52315	10.1874	5.10958	14.275	7.46519	9.280275	17.52775	12.51595	12.97005	18.93955	23.00135	16.1041	3.18452	5.12084	15.3508	10.1623
MRS2	18.40795	15.07755	23.71335	28.34375	41.9658	9.200625	10.05664	10.69035	7.87771	8.68611	15.8573	9.963055	15.47755	8.193095	10.79745	24.55715	16.08065	9.437295	7.11445	8.66752	12.57045	20.0326	5.46108	4.69385	23.1865	17.039	9.43375
MRTO4	27.80725	14.9664	14.1832	23.78105	12.32675	20.6125	33.63505	27.49305	19.20135	43.7099	16.0457	47.1109	49.3978	11.80545	19.5273	13.8903	28.66675	49.49035	22.59605	20.89305	38.4749	19.77615	106.644	34.0646	42.1194	48.0008	33.0295
MS4A1	1.16538	0.2570235	0.525331	0	0.0251083	0.02959075	0.03028495	1.862265	0.01527415	0.02024735	0.1291655	0.0208369	5.135065	0.491926	12.5867	1.385425	0.0591362	0.6650955	0.734874	0.3142505	0.177205	0.8826375	0.0962267	0.102931	0.0486399	0.193117	297.437
MS4A12	0	0	0	0	0	0	0	0.01670285	0	0	0	0	0	0.1010295	0	0.0235323	0.0205665	0	0	0	0	0	0	0	0	0	0
MS4A14	0.542722	0.2714895	0.0991645	0.03575115	0.9964385	0.174249	0.4247615	0.2187645	0.2067685	0.241076	1.62524	0.4092885	0.5943405	0.2712475	0.8746405	1.023895	1.11368	0.4646765	0.839875	1.146285	0.1491239	0.961675	0.155235	0.148421	0.227031	0.0410796	1.08293
MS4A15	0	0	0	0.0092916	0	0	0.06745435	0	0.0529321	0	0.0331831	0	73.5406	0.02967095	0	0.02986815	0.341194	0.0640462	0	0	0	0.1124873	1.14505	0.369923	0.0460115	0	0.0540994
MS4A2	1.561295	0.123845	0.0298391	0.02029985	0.0100028	0	0.06444255	0.2254	0.1584325	0.3555595	0.398593	0.5316865	0.0265204	0	0.0270225	2.029385	0.163101	0.0117159	0.0375571	0.00433264	0.626321	0.1030252	0.022101	0.108479	0.0151739	0.161384	0.0557501
MS4A3	0	0.0267276	0.03830435	0	0.09932855	0	0.1642815	0	0	0.575524	0.0470873	0.0088052	0	0	0	0.171484	0.02578285	0	0	0	0.0214518	0	0	0	0.0461164	0	0
MS4A4A	28.39615	12.7494	25.78	4.705615	34.53215	3.80933	9.75416	9.770195	3.280065	12.77075	27.10035	25.4083	14.68035	9.16565	25.2919	48.1176	29.90485	14.87055	16.91315	8.364425	1.296935	57.11675	4.38047	6.20897	6.055	5.25293	3.7096
MS4A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A6A	44.51775	62.30975	35.3574	6.646025	60.60205	6.356775	19.0541	35.554	4.28107	19.4204	86.3904	31.39705	57.45895	14.26465	94.09325	142.469	63.5806	33.5967	48.0733	29.54135	6.981915	121.683	4.75399	16.9581	17.5951	10.1018	24.1242
MS4A7	15.2196	19.5467	16.2518	5.18105	31.788	1.97136	7.710425	8.94921	2.27236	8.049375	29.09635	14.2172	16.52745	4.2624	17.75765	45.3371	29.2394	7.232665	16.43205	10.03172	1.419305	36.01415	4.63637	9.29444	8.86651	7.47306	9.13016
MS4A8	0.0118478	0	0.1034577	0.3811235	0	0	0.184035	0.026053	0.0118008	0	0	0	0	0	0.02777835	0.386904	0.03315915	0.09712975	0	0	0	0.416314	0	0	0	0	0
MSANTD2	2.52811	1.63192	1.21053	1.790725	2.40902	1.923065	3.09748	3.395315	3.960625	2.78266	2.46233	7.7049	3.927585	1.206935	3.224635	2.740875	2.97271	3.165515	2.743585	3.89405	2.20283	3.69699	1.38029	7.48187	1.62114	1.13272	3.1814
MSANTD3	12.86455	10.206	25.52315	25.87815	17.5426	21.6758	24.50535	7.049745	16.12925	7.26243	11.5198	44.0807	22.11985	19.6491	25.24735	12.0497	23.2786	11.27825	27.7342	26.34385	13.4947	20.674	19.9132	6.98762	21.0083	28.8487	14.2221
MSANTD4	7.492965	4.511445	3.208405	5.19463	8.578305	3.16231	3.977965	8.317285	18.6583	9.2024	7.490525	9.661465	5.34882	3.57251	4.00851	5.797685	5.657575	0.379185	6.718805	8.675265	1.65797	6.552585	1.55926	7.87295	2.90106	5.36067	5.67325
MSC	11.62445	1.87389	3.17026	3.472685	1.90838	0.555211	47.7187	4.206975	7.746395	24.14125	8.491365	2.49008	1.648695	24.27055	9.41965	16.5537	11.98705	56.8793	3.3468	1.844645	6.28906	2.01707	63.1154	58.9056	44.7187	4.6142	17.5516
MSH2	12.57305	7.865885	16.43975	13.79175	16.361	11.67025	5.971225	10.15925	14.99325	26.7645	10.006435	23.69785	9.74732	8.733975	8.051845	12.3566	14.82155	7.610325	19.8252	22.25005	7.767455	12.9935	3.20848	7.36082	19.9332	6.0955	13.2007
MSH3	3.597745	8.057345	4.674445	5.79738	6.775505	2.669055	3.624245	5.512825	3.72545	3.265485	4.596685	3.853015	4.27967	1.679325	4.80599	4.172	2.89854	4.060595	8.010705	8.174905	4.392865	3.973755	2.4586	8.19328	3.38582	11.489	6.28973
MSH6	13.56885	11.24395	14.9856	15.5452	12.7543	15.8846	10.13327	11.17315	16.20795	12.5675	9.835	23.3976	12.84895	11.55365	11.23765	15.5866	25.22275	23.49505	9.444435	9.431255	9.03532	13.88215	10.3171	13.8657	27.6042	8.01605	17.0883
MSI1	0.0199064	0.0664145	5.530595	0.526911	0.03768505	0.06565165	0.01831735	0.06020255	2.070145	0.5436735	0.06342315	0.0685609	0.04413925	4.17079	0.266214	0.831201	0.300287	6.62204	0.01348465	0.0151486	0.0447981	0.3117625	0.283832	4.14696	1.9469	0.0369442	0.153012
MSI2	38.57385	36.3692	30.7858	29.7956	33.5196	21.0188	13.6837	11.9507	31.56055	17.70745	17.8428	12.3357	11.8891	15.9285	16.29625	17.43695	10.93795	8.111075	28.40985	36.6832	3.342535	29.2686	22.7705	22.9319	37.0941	30.4383	11.1946
MSL2	11.0128	7.763945	11.70115	8.46678	7.722375	7.033385	7.01823	4.988415	8.275405	5.70171	8.354555	7.75304	4.461855	5.535025	11.5946	9.308645	5.23551	5.52461	9.62522	10.8761	5.936735	9.499125	4.53316	4.66312	8.32145	5.07045	16.6538
MSL3	10.6377	11.8416	11.4444	8.007255	16.7575	11.14145	8.6591	10.3915	9.813385	11.62435	13.96045	30.2557	12.6377	4.307435	19.8201	14.11755	12.9385	11.019	11.6415	11.52415	15.94935	11.9892	7.61007	9.77255	9.22853	8.61902	24.9656
MSL3P1	11.892150000000001	1.30089	1.963135	2.46045	0.3354755	0.671365	4.410585	6.497955	13.58545	5.71638	4.01713	0.2059	4.14607	1.981715	4.48421	1.178105	3.72946	3.281635	1.88971	3.093605	2.709335	0.483325	8.8377	6.57241	6.52581	10.316	1.83774
MSLN	0.0317303	0	0.0219957	0	0.01162385	0.0156913	0	0.6892115	0.0765165	0	0.0380763	0.00778825	0.03648995	1.146535	0.0423787	0.02869035	0	0	0.3418235	0.124531	0.584419	1.432865	0	0.0679472	0.0764691	0.10962	0.225475
MSMB	0	0	0	0	0	0	0	0.3522025	0	0.1262615	0	0	0	0	0	0	0	0	0	0	0.6611975	0	0	0	0	0	0
MSMO1	14.69585	43.66585	26.1486	31.95385	27.4632	69.65875	14.26135	31.6428	44.3623	29.44335	24.93165	33.5758	15.53275	15.50315	17.9539	15.78915	13.12945	6.59309	15.16775	13.58825	92.6239	23.865	8.40294	10.0811	8.62185	8.24237	31.3564
MSN	263.049	89.5671	252.221	184.2105	182.9425	177.507	168.331	194.8745	122.842	78.20115	177.7895	447.6085	56.92745	188.851	126.4225	273.28	130.5465	104.6385	218.343	212.765	131.478	92.10075	245.682	83.1011	258.875	120.206	269.848
MSR1	15.1537	17.43305	10.019825	4.323815	34.16465	8.698575	26.55465	10.4165	8.531525	12.27685	41.1266	15.5159	20.85595	9.094855	28.93875	50.6845	41.21745	7.543865	29.79625	26.6558	0.9635245	31.3395	5.91887	5.0337	9.71673	1.95305	0.709145
MSRA	13.3833	25.5361	12.69365	15.7243	8.70616	11.82345	34.35135	19.2584	6.889425	13	11.34705	9.675975	8.835735	20.8466	14.75755	16.12965	15.84065	22.72815	26.3141	23.4896	9.410385	7.22021	21.2376	11.2206	15.9873	18.7209	12.8393
