	IP-08	IP-108b	IP-115b	IP-124b	IP-127	IP-138b	IP-140b	IP-148	IP-197	IP-214	IP-28	IP-31b	IP-36	IP-38b	IP-46	IP-52	IP-57	IP-58b	IP-60	IP-67b	IP-73	IP-82b	IP-89b	IP-99
MYO6	27	27.45	54.63	34.04	28.26	44.5	33	47.99	19.68	32.67	15.77	26.86	38.31	27.43	18.92	21.36	13.97	35.85	41.04	31.62	24.83	27.7	27.35	40.17
MYO7A	5.57	6.52	6.86	2.38	0.93	6.79	20.9	3.2	3.73	1.54	0.68	6.52	3.94	25.31	4.87	2.53	0.63	8.79	0.9	11.1	1.01	2.19	9.08	2.88
MYO7B	1.12	0.27	0	0.52	0	11.42	1.57	0.51	0	0	0	0	0.47	0	0.13	0	2.27	0	1.16	1.08	0	0.96	0.8	0.2
MYO9A	18.28	18.11	29.53	46.62	44.98	23.54	24.98	19.22	13.07	34.71	8.07	48.26	22.69	31.19	32.59	16.13	12.79	8.53	30.41	16.79	18.69	13.42	30.01	21.44
MYO9B	72.22	46.67	38.59	75.41	11.71	100.76	132.76	42.01	17.74	18.27	27.98	58.01	49.01	96.48	44.42	33.07	33.87	80.05	21.65	51.49	41.14	56.21	176.77	27.24
MYOC	0	0	0	0	0	1.94	0	0.23	0	0	0	0	0	0	0	0	0	0	8.27	0	0.49	0	0	0
MYOCD	0.38	1.68	0	2.34	0	4.14	0.37	0.41	0.28	0.23	0.16	3.22	0.54	0	0.63	0.86	0	2.44	2.38	5.34	0.04	0.47	0.24	0
MYOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0
MYOF	32.42	65.27	103.31	83.85	17.02	84.48	155.82	69.75	117.88	13.66	14.78	88.85	10.79	245.53	45.25	59.37	68.74	30.37	54.75	28.24	77.92	62.25	207.2	56.39
MYOG	0	0	0.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOM1	1.46	0.8	2.84	3.54	0.22	3.14	0.78	0.92	0.71	4	2.91	1.08	3.93	0.07	0.58	0.48	1.34	0.46	0.95	4.15	1.21	5.7	2.89	1.59
MYOM2	0.88	0	1.13	0	0	5.14	2.17	0	0	0.15	0	0.71	4.42	0	1.51	0.45	2.16	0.17	1.01	0	1.23	0	0.13	0
MYOM3	0	3.71	0.58	1.48	0.2	0.63	0.41	0.15	0	0	0	1.06	0	0	0.28	0.08	1.26	0.22	0	3.11	0.91	0	2.82	0
MYORG	2.46	0.5	2.35	1.63	1.75	3.29	1.24	0.81	2.31	1.21	0.36	1.24	10.53	4.57	2.15	3.54	4.12	3.04	0.79	7.86	1.3	4.39	3.11	0.9
MYOT	0	0	1.05	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0
MYOZ1	0.36	0	0.42	1.16	0.45	0.48	0	0.58	0	0	0	0	0	0	0.3	0.33	0	0	3.16	0	0	0	0	0
MYOZ2	0	0	0.2	0.28	0	0	0.2	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0
MYOZ3	0.13	0.11	0.16	3.16	0	1.36	0.16	0.43	0	0	0.18	0.36	3.65	0.26	0.11	0	0.39	0.52	0.84	0.45	0	0	6.15	0
MYPN	0	0	0.62	0	0	0	0.25	0	0	0	0	0.13	0.14	0	0	0	0	0	0.27	0	0	0	0	0
MYRF	0.82	6.76	0.92	12.76	10.28	286.7	28.1	1.6	0.49	3.6	3.27	1.56	6.29	0.71	1.86	8.5	13.72	2.69	3.74	31.52	18.56	13.08	123.79	3.87
MYRF-AS1	0	0	0	0	0	2.4	0	0	0	0	0	0	0.78	0	0	0.16	0.67	0	0	0	0	0	3.02	0
MYRFL	0	0	0	0	0.15	0.17	1.68	0	0.11	0.41	0.34	0	0.19	0	0.29	0	0	0	0	0	0	0	0.2	0
MYRIP	1.15	0.09	0	0.68	0	1.18	0.47	0.34	0	1.28	0.12	0.3	0	0	0.42	0	0.49	2.59	0.19	0	0.16	3.74	0	0
MYSM1	33.52	23.04	54.3	47.1	55.81	15.26	16.79	33.28	26.35	53.8	18.63	48.84	39.08	35.33	24.98	15.86	26.4	8.8	40.89	40.28	19	5.94	12.44	17.17
MYT1	0	0	0	0	0	2.31	0.09	0.63	0	0.27	0	0	0.31	0.23	0	0.2	1.81	0	0	0	0	0.22	0	0.14
MYT1L	0	0.11	0	0	0	0	1.09	0	0	3.54	0	0.36	0	0	0	0	0	0	0	5.69	0	7.92	0	0
MZB1	22.08	0.76	2.78	27.31	0	5.36	3.93	25.05	1.07	1.77	0	0.84	1.74	1.2	69.27	19.89	0.78	7.75	1.68	4.24	0	12.27	2.37	0.49
MZF1	17.36	9.15	12.78	27.81	14.07	31.17	14.19	10.57	6.78	9.3	10.17	12.32	34.69	6.23	8.86	8.6	15.33	23.46	8.11	14.24	10.94	28.44	27.47	6.94
MZT2B	25.18	7.63	20.02	30.03	8.63	13.51	34.47	16.04	10.36	13.75	5.05	10.95	38.46	49.9	31.27	20.84	26.09	28.89	11.91	23.93	19.13	9.31	24.41	40.13
N4BP1	25.06	20.66	34.94	35.71	22.91	24.99	13.2	21.18	32.48	14.26	11.12	25.9	13.48	19.9	28.95	23.5	15.75	9.58	21.81	20.68	23.08	28.22	29.87	11.85
N4BP2	5.44	4.01	8.01	15.22	4.39	4.54	3.73	6.73	5.67	5.76	11.04	12.8	8.05	22.32	3.91	3.41	3.4	1.13	7.65	5.69	10.11	2.59	3.13	5.13
N4BP2L1	30.19	13.81	5.83	25.35	21.84	15.26	13.59	13.73	4.29	9.01	9.19	35.41	10.36	3.36	17.84	6.36	3.43	5.94	37.73	4.57	5.17	19.73	8.46	9.08
N4BP2L2	107.73	120.04	134.44	305.37	114.87	87.48	80.02	118.31	198.65	223.34	90.76	295.58	87.77	123.63	163.02	81.29	87.42	23.11	222.46	76.92	165.9	51.92	71.42	42.14
N4BP2L2-IT2	18.07	9.78	11.21	30.35	13.39	11.43	8.55	12.25	14.65	32.29	16.82	22.26	19.36	3.69	8.79	4.85	9.14	1.5	13.3	7.3	11.93	9.78	10.03	3.03
N4BP3	1.5	2.38	0.93	2.22	0	0.96	1.17	0.87	0.26	0.08	0.67	1.23	2.46	4.71	0.6	1.45	0.28	1.22	1.45	0.85	0.43	1.94	1.01	0.14
N6AMT1	4.08	2.04	3.51	5.73	6.23	5.44	2.11	2.57	4.87	1.36	3.32	4.71	2.34	4.26	3.09	3.78	3.32	0.47	3.89	2.9	4.48	5.31	0.94	2.08
NAA10	24.28	12.46	44.95	37.75	27.13	34.98	62.64	17.15	19.71	17.76	21.67	20.74	25.45	10.2	22.57	14.13	33.3	19.32	6.93	21.76	25.64	26.62	58.99	36.87
NAA11	0	0	0	0	0	0	0	0	0	0	0	0	7.39	0	0	0	0	0	0	5.21	0	0	0	0
NAA15	17.11	6.8	49.82	32.07	31.26	12.75	10.31	18.31	29.16	38.63	12.36	30.57	17.43	38.26	15.69	15.14	21.74	2.51	18.12	10.45	12.63	11.83	6.62	19.6
NAA16	11.44	7.56	5.26	24.36	10.49	11.26	9.92	8.06	11.88	9.21	15.79	15.58	4.83	11.83	10.29	4.52	6.64	3.96	16.88	7.65	9.11	13.71	7.74	6.47
NAA20	20.8	10.55	56.07	23.04	11.55	22.66	13.53	20.26	28.51	33.55	16.35	21.07	65.29	27.11	24.6	24.64	32.6	16.45	27.66	39.14	24.19	17.02	9.75	22.89
NAA25	23.03	16.43	52.01	28.02	38.5	22.12	15.95	22.71	26.83	44.35	34.25	34.32	30.55	46.07	23.09	18.67	36.22	3.12	18.52	19.63	17.21	3.12	23.95	19.95
NAA30	4.37	3.38	17.5	8.1	9.76	2.55	1.5	5.36	12.77	13.4	6.09	7.5	5.81	19.44	4.82	3.35	5.94	1.61	7.92	8.39	5.81	3.57	2.33	4.31
NAA35	6.27	5.91	15.82	17.28	7.54	9.25	9.49	6.38	15.07	18.15	7.58	11.59	10.05	11.49	12.51	8.67	8.73	5.7	7.55	12.2	9.24	5.1	6.86	10.42
NAA38	9.14	5.24	28.05	11.67	3.87	23.96	8.54	7.28	5.58	10.62	14.02	5.51	11.07	7.05	6.69	13.77	22.37	10.39	4.65	11.58	17.55	11.84	13.87	14.44
NAA40	11.98	6.81	11.65	15.53	7.02	15.11	16.96	9.26	13.88	13.03	18.06	10.86	29.08	12.92	12.62	12.44	11.12	8.16	9.93	17.09	13.81	24.26	19.58	7.6
NAA50	29.33	14.47	82.44	33.85	43.76	28.89	15.88	35.46	106.97	67.8	58.37	48.51	37.67	86.73	24	61.2	63.63	45.72	31.19	31.59	22.43	46.18	28.65	46.41
NAA60	45.15	14.55	21.23	28.21	28.84	40.27	47.62	25.79	33.61	36.4	16.37	29.71	40.6	24.4	18.11	18.47	49.95	36.78	27.09	47.94	22.83	28.21	87.31	10
NAA80	4.25	5.96	2.73	5.92	0.82	9.02	10.18	5.1	0.73	1.55	0.75	5.44	3.9	1.14	3.53	3.66	3.24	15.96	1.32	2.23	3.08	16.93	15.76	11.9
NAAA	14.74	3.97	10.08	26.37	5.21	7.2	10.18	6.33	4.78	5.51	2.69	9.84	2.49	6.49	4.97	12.23	2.69	2.37	4.69	7.6	3.03	0	19.07	5.34
NAALAD2	0.9	0	0.43	2.61	0.86	2.49	0.82	0.43	0	1.12	0.2	1.76	3.41	4.52	1.96	0.26	0.43	0	1.63	6.02	0.37	0	0	0
NAALADL1	0.59	1.05	1.29	7.14	0	3.15	1.36	2.03	0	1.9	0.76	2.37	1.66	0	1.16	1.69	2.24	0	0	1.65	1.83	1.48	5.16	1.14
NAB1	13.53	15.1	32.61	23.58	11.54	20.58	17.56	14.51	25.05	9.59	3.82	35.08	4.66	60.64	8.55	23.68	12.26	4.67	21.39	32.84	16.53	0.86	16.14	12.14
NAB2	7.68	4.96	4.01	7.94	5.22	7.92	13.47	9.39	6.19	2	4.05	7.1	5.71	4.96	9.45	8.1	4.97	2.49	10.46	4.21	4.07	10.28	15.74	23.46
NABP1	86.61	34.87	659.4	71.52	75.06	31.76	46.68	50.13	56.65	15.21	11.7	165.03	40.3	333.26	52.51	51.87	34.48	12.84	49.06	93.94	37.19	25.16	34.71	56.43
NABP2	7.38	1.89	8.81	5.37	10.35	12.74	21.71	4.9	6.37	7.3	7.2	8.94	8.86	2.27	5.73	4.21	11.72	13.76	4.56	12.82	7.84	16.57	8.48	9.52
NACA	344.69	64.89	262	189.94	306.37	359.62	445.44	133.37	287.33	241.53	143.54	206.06	189.03	620.58	131.45	117.39	226.8	228.56	127.55	306.91	189.92	108.93	311.63	180.73
NACA4P	0	0.67	0.96	1.35	1.61	0	0	1.33	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACAD	0.27	0.15	0.11	0.44	0.34	0.83	9.9	0.58	0.16	0.52	0.12	0.77	0.13	0.09	0.22	0.33	0.78	1.16	0.34	0.3	0.53	0.8	3.75	0.12
NACC1	15.51	6.83	17.61	9.48	2.52	18.93	22.74	12.13	9.03	4.6	15.17	4.38	15.4	12.54	6.75	12.58	17.64	17.96	6.44	18.4	7.72	28.65	16.95	14.36
NACC2	3.95	3.23	4.67	12.01	1.98	10.38	22.01	5.75	4.44	6.03	5.38	4.7	4.26	3.95	6.13	6.87	5.85	8.38	3.35	1.49	4.71	7.55	19.72	8.98
NADK	29.95	24.73	28.95	26.15	11.39	41.25	44.62	17.6	31.66	30.49	21.17	21.38	29.97	27.94	32	25.81	20.13	61.93	23.3	46.92	22.99	44.18	43.16	20.21
NADK2	4.33	8.55	10.7	17.41	13.92	3.91	6.39	13.43	9	9.15	17.68	18.34	24.27	16.85	8.41	11.51	15.3	3.09	10.05	19.7	10.54	0	8.66	23.69
NADSYN1	53.85	24.71	45.64	58.24	16.17	51.61	68.29	33.94	66.02	39.7	25	42.15	63.79	13.45	44.87	32.73	28.73	27.04	36.94	43.22	23.96	42.45	76.22	29.64
NAE1	21.17	18.07	31.78	39.57	23.49	11.66	10.28	22.13	28.27	19.13	36.27	41.01	16.01	56.86	26.73	28.57	35.72	11.92	37.04	17.12	15.66	28.15	12.01	12.57
NAF1	7.37	4.69	10.43	12.32	9.71	13.01	8.62	6.51	12.86	9.01	6.78	13.11	8.59	16.89	5.96	8.77	10.96	3.93	12.34	13.1	8.63	3.1	11.12	6.21
NAGA	11.42	3.31	6.45	8.59	4.13	14.01	12.79	6.49	5.05	5.71	4.55	6.41	3.51	12.42	5.86	6.47	6.03	8.57	4.77	7.95	6	9.86	11.74	5.56
NAGK	65.39	41.7	35.21	85.22	20.9	64.41	66.4	25.29	25.15	28.93	22.68	78.5	23.76	111.82	37.94	35.39	38.4	78.2	27.47	43	32	47.81	98.11	39.96
NAGLU	16.03	5.4	6.56	17.9	4.02	16.07	11.05	3.93	6.81	4.95	6.39	4.24	3.51	5.2	12.09	4.67	5.06	10.41	3.76	5.68	10.33	7.94	12.13	7.71
NAGPA	5.99	3.96	3.11	7.43	5.41	7.49	12.32	2.58	3.06	0.28	6.47	5.33	6.37	2.93	4.01	3.77	6.94	8.24	3.32	6.57	2.36	9.97	7.75	1.06
NAGS	0.92	3.86	2.96	0	2.52	0	1.88	1.84	0.41	0.8	0	0.97	1.37	0	0.91	0.21	0.66	0.6	1.16	0.39	0.58	0	1.05	4.71
NAIF1	8.08	0.35	1.85	3.52	0	1.15	3.18	0.25	0.79	1.2	0.29	1.19	3.84	0.57	0.76	1.56	0.82	4.86	1.4	1.08	1.23	0	0.93	0.31
NAIP	26.8	20.87	26.88	64.87	23.28	32.44	37.81	40.68	18.17	21.88	28.15	88.17	50.19	19.65	16.14	29.03	19.26	13.02	36.76	17.74	18.97	43.96	33.46	20.65
NAMPT	106.58	442.4	248.55	93.53	9.81	95.73	98.73	110.42	163.13	196.5	118.09	187.63	75.13	178.98	46.66	383.4	57.14	46.5	125.09	123.08	397.64	32.93	45.79	922.28
NANOG	0	0.77	2.25	3.24	0	0.98	1.41	0.79	0.07	0	0.11	0.12	1.42	0	0.87	0.87	0	0.11	0.32	0	0.89	0	0.92	0.63
NANP	2.29	0.94	3.36	4.84	5.87	1.07	0.67	3.06	4.49	4.62	0.61	3.6	5.12	4.1	5.5	2.72	2.76	0.89	3.62	3.28	1.75	4.1	0.89	2.44
NANS	10.97	8.09	19.49	20.29	4.16	33.92	20.07	8.4	37.19	16.73	10.76	12.52	9.9	10.88	17.47	17.76	27.57	18.48	7.54	16.44	17.1	17.41	13.6	30.54
NAP1L1	145.02	66.91	243.86	212.77	32.7	104.31	72.61	183.01	229.04	233.5	156.55	156.59	113.58	364.15	95.34	105.36	288.32	45.73	115.69	170.47	88.57	46.65	84.03	138.26
NAP1L2	1.04	0.14	0	0.56	0	0.23	0.2	0	0.31	0.8	0	0	0.77	0	0.57	0.16	0	0.23	0.22	0	0.44	1.55	0	0.22
NAP1L3	0	0	0	1.09	0	0.22	0.58	0	0	0	0.22	0	0.25	0	0	0	0	0	0	0	0	0	0.52	0
NAP1L4	57.49	41.92	61.04	60.32	27.08	39.94	51.36	69.3	50.28	84.63	67.54	41.16	51.46	106.09	46.87	41.06	74.31	19.87	37.03	72.52	47.07	33.02	64.22	53.74
NAPA	31.53	14.58	10.81	43.1	10.88	43.47	47.88	17.59	19.14	19.21	13.2	29.02	25.31	14.47	30.37	26.89	12.62	48.13	24.97	28.47	15.83	38.51	33.99	18.78
NAPB	11.23	11.67	27.64	24.03	25.75	11.43	4.94	12.32	8.28	16.96	71.53	32.99	21.62	11.63	16.71	11.27	18.09	4.15	19.34	22.29	8.48	8.48	11.62	8.42
NAPEPLD	9.95	7.71	19.25	14.65	9.36	12.72	12.53	8.02	9.08	13.5	6.85	13.04	10.29	8.11	12.04	11.86	11.2	7.34	13.69	15.63	6.72	15.23	10.03	8
NAPG	12.53	11.37	25.31	30.76	18.69	15.86	8.75	18.22	24.37	36.52	15.9	35.1	11.68	17.87	16.55	15.96	17.5	6.68	23.19	14.92	18.81	3.24	12.27	10.43
NAPRT	11.57	5.75	32.32	8.48	5.11	33.42	10.15	15.36	14.35	6.79	8.64	5.72	13.48	13.44	19.58	27.87	19.82	25.6	14.91	5.16	6.06	25.61	29.38	20.77
NAPSA	22.16	0.85	57.1	0.22	56.13	124.68	76.14	88.73	60.2	110.8	2.38	0.62	3.88	6.74	129.41	59.64	0.91	443.49	186.53	0	0	30.82	0.71	85.72
NARF	47.37	16.76	20.11	52.11	17.64	28.05	25.84	43.31	33.43	31.48	20.5	23.31	18.36	19.61	46.01	16.78	7.4	24.29	16.17	23.73	25.57	67.52	38.26	16.53
NARS1	26.72	34.42	39.11	61.89	34.03	53.94	54.68	37.57	49.35	63.84	41.87	62.98	20.66	118.86	47.13	28.15	61.87	34.98	20.02	56.99	57.39	51	38.09	21.17
NARS2	4.09	4.63	26.47	14.79	12.23	2.12	2.3	9.1	25.99	13.26	14.85	13.1	14.7	27.48	11.97	5.23	9.25	4.6	13.93	7.04	10.43	5.83	2.2	9.68
NASP	62.08	40.65	61.97	73.89	69.88	50.16	67.63	62.2	117.51	62.65	41.63	72.63	86.15	230.47	67.26	64.55	43.32	111.28	62.81	130.5	35.39	33.74	38.95	54.64
NAT1	3.98	0.51	2.6	3.71	3.73	1.45	0.75	1.58	3.41	5.11	1.3	1.8	5.67	1.07	2.2	5.63	6.68	0	0.8	1.71	3.98	3.76	0	0.79
NAT10	27.22	8.26	22.93	25.13	12.75	19.71	22.91	14.5	14.5	26.35	14.74	11.83	23.06	26.94	11.47	12.36	32.03	14.85	15.06	31.3	11.3	14.89	28.3	18.84
NAT14	6.9	4.95	4.97	10.28	1.18	11.86	12.59	7.64	2.67	3.5	3.92	7.49	10.85	6.25	4.62	7.14	3.35	3.44	3	1.96	8.77	17.73	22.74	3.58
NAT2	0	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46
NAT8	0	0	0	0	0	0	0	0	0	0	0	0	3.25	0	0	0	0	0	0	0	0	0	0	0
NAT8B	0	0	0	0	0	0	0	0	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0	0
NAT9	27.73	16.63	16.53	19.04	22.41	16.86	21.81	14.12	36.13	13.69	17.76	16.99	44.82	5.81	20.3	10.91	15.86	6.9	13.12	20.49	18.79	15.66	24.21	28.25
NAV1	20.71	39.66	7.1	44.19	1.35	32.16	26.04	18.46	2.57	25.01	4.05	26.89	2.67	23.85	7.96	26.02	25.94	27.66	6.25	4.46	23.42	18.34	137.32	3.98
NAV2	37.88	34.86	31.15	43.2	15.03	43.9	53.94	35.4	21.49	35.52	19.82	7.31	6.79	13.6	20.08	16.41	9.49	27.66	28.97	14.85	6.53	32.24	67	29.07
NAV3	0.98	14.91	29.94	9.98	0.21	15.96	7.99	2.28	0.35	1.37	0.57	4.4	0.35	0.92	1.62	3.7	1.25	6.21	4.54	9.26	1.63	11.94	36.95	0.26
NAXD	9.05	7.34	5.36	13.18	6.81	19.63	11.12	4.55	9.52	13.88	19.82	14.33	17.21	9.22	7.01	9.54	20.53	9.71	5.2	4.87	10.15	8.59	15.71	2.69
NAXE	19.34	10.58	25.97	20.08	6.46	30.98	23.47	14.8	30.74	49.54	22.34	14.47	33.59	25.82	18.24	27.17	75.22	21.3	6.26	23.22	35.14	28.37	18.77	28.51
NBAS	13.97	10.56	24.65	21.63	17.04	11.96	11.97	11.47	17.61	12.73	6.94	16.66	17.45	16.9	19.13	13.5	14.41	18.24	15.68	199.58	15.04	26.04	15.28	8.85
NBEA	4.77	1.21	5.65	6.51	1.64	8.48	2.84	4.73	19.79	7.15	1.79	2.99	2.9	1.26	5.98	2.23	0.65	3.55	1.64	0	2.38	3.45	2.59	0.76
NBEAL1	26.28	32.39	45.97	61.8	91.86	32.74	17.34	37.33	60.6	35.31	28.36	51.91	15.89	36.75	52.92	36.61	30.6	28.31	60.69	25.17	29.26	12.7	19.82	10.7
NBEAL2	52.17	49.47	39.33	87.19	29.43	182.66	86.75	27.84	49.03	34.99	51.53	18.26	48.06	19.49	31.11	37.32	30.58	80.16	6.55	37.65	22.09	182.79	189.04	26.58
NBEAP1	3.25	0	5.99	5.72	0.97	4.22	1.8	0.49	0.26	1.86	0	7.11	1.43	0	1.7	0.8	1.71	5.93	0.54	0	1.69	0	0.94	2.52
NBL1	9.92	33.45	9.43	33.23	3.74	38.33	24.61	22.25	10.29	3.56	2.13	36.91	1.03	2.73	7.01	26.52	15.08	37.81	17.66	2.21	73.86	30.88	218.14	10.9
NBN	11.99	11.2	27.75	28.84	16.59	14.62	14.05	45.9	36.9	11.86	11.69	26.45	6.38	23.57	26.67	21.57	24.49	6.8	40.46	4.69	23.06	15.11	10.36	9.22
NBPF1	26.38	17.14	28.03	29.37	15.85	18.01	20.31	23.18	10.55	19.37	18.08	30.55	39.21	17.53	21.92	20.03	22.29	19.81	27.16	44.09	14.01	35.56	17.96	4.16
NBPF11	8.88	10	9.65	16.53	7.87	8.33	6.39	7.35	7.91	8.65	8.31	6.41	7.26	5.45	8.06	2.68	6.13	1.74	5.89	14.92	7.29	4.7	5.82	6.37
NBPF12	11.59	11.88	10.76	16.42	7.27	12.03	11.9	5.28	10.18	10.01	7.72	6.73	5.94	7.15	12.5	4.06	6.44	3.63	6.27	18.66	10.18	10.99	22.18	12.37
NBPF14	13.82	13.76	16.21	29.2	11.72	8.3	12.67	8.51	16.51	28.75	6.67	23.93	20.08	1.83	17.03	7.04	7.04	5.73	10.79	9.32	9.22	9.6	12.2	17.34
NBPF3	6.04	4.14	3.57	5.83	5.76	7.53	4.82	5.38	3.48	2.16	5.19	7.44	4.74	7.26	7.67	6.89	4.16	7.72	9.67	17.86	6.13	0	11.53	3.77
NBPF4	0	0	0	0.58	0	0	0.42	0	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0
NBR1	30.5	15.76	38.53	29.77	13.91	34.99	20.71	26.04	32.13	26.81	15	32.62	18.29	17.08	40.41	26	24.63	19.06	20.71	5.7	19.14	17.35	29.36	23.77
NBR2	14.54	3.84	8.71	13.1	6.62	15.71	8.94	8.12	6.9	8.03	22.25	7.11	13.83	3.8	10.83	10.42	15.52	10.8	6.86	3.79	8.09	17.97	15.73	11.24
NCALD	7.28	11.1	0.74	14.04	5.37	17.34	6.01	6.42	0.78	8.76	5.47	26.47	3.9	1.25	10.43	4.65	4.19	2.17	35.28	3.32	14.35	17.14	12.96	1.39
NCAM1	2.89	2.22	1.43	0.6	0.09	3.76	26.03	0.22	0.98	16.1	0.66	6.06	2.71	0	0	1.7	2.81	0.36	1.48	0	0.65	25.71	6.81	0.63
NCAM2	1.74	1.44	0	7.67	0.07	12.01	12.51	4.78	0.85	1.82	0.07	1.33	4.06	2.65	2.12	0.33	0	4.91	1.38	0	1.36	1.05	1.49	0.07
NCAN	0	0	0	0	0	0	3.19	0	0.92	1	0.09	1.27	0.5	0	0	0	0	0	0	0	0	1.12	0	0.12
NCAPD2	32.55	23.22	28.42	27.84	7.32	61.77	30.29	11.33	41.01	20.33	18.25	16.96	29.71	92.54	23.81	16.43	28.91	31.44	11.88	35.99	27.03	53.63	41.11	31.96
NCAPD3	12.82	12.4	24.11	7.34	12.67	10.69	24.74	10.18	14.93	12.82	15.01	11.25	8.94	25.28	16.87	13.33	8.21	21.08	19.69	17.06	16.9	27.55	11.42	10.92
NCAPG	1.97	2.96	12.08	3.12	1.6	1.82	2.55	5.45	12.85	8.94	7.88	3.05	3.08	22.04	2.23	1.59	2.51	0.25	0.55	6.98	6.77	0	0.23	11.15
NCAPG2	4.81	3.65	26.16	4.25	5.42	9.57	13.18	8.55	16.8	9.05	14.24	6.9	12.11	22.78	7.73	7.01	10.82	5.45	1.77	19.88	9.47	4.05	3.43	15.53
NCAPH	4.87	0.99	8.35	1.34	1.47	4.47	3.53	2.33	4.7	3.69	9	1.75	9.56	26.26	3.19	2.47	4.94	2.69	1.54	12.45	5.44	5.21	1.75	3.79
NCAPH2	9.18	5.09	10.97	11.82	4.21	14.32	17.62	4.89	8.28	5.61	6.42	4.44	6.35	5.97	6.4	13.13	6.83	17.02	3.91	18.99	11.62	6.98	7.83	6.97
NCBP1	12.46	14.4	21.04	14.68	6.16	10.87	12.39	16.47	14.82	24.03	14.85	10.22	7.62	12.83	10.86	8.68	9.24	10.21	16.86	8.34	6.1	2.36	4.53	14.24
NCBP2	25.22	6.53	71.03	27.58	21.74	21.03	35.76	29.43	45.05	38.2	41.53	27.73	58.93	50.3	19.86	30.23	40.04	25.33	21.66	98.38	34.92	16.09	26.14	31.04
NCBP2AS2	2.29	0	11.09	5.5	1.4	6.8	3.33	3.62	13.79	3.95	3.68	1.61	15.02	12.36	3.73	6.65	8.09	2.91	0.71	7.61	4.68	3.29	3.53	7.31
NCBP3	16.73	21.14	36.8	50.69	21.48	24.26	19.25	23.19	36.76	51.07	30.62	50.25	26.26	36.88	16.33	12.94	51.5	4.93	23.61	18.41	67.55	30.1	22.25	10.28
NCDN	7.85	3.92	5.78	7.98	4.56	10.68	15.3	5.92	3.56	2.72	3.29	2.7	5.75	1.12	5.44	6.92	3.7	13.07	4.21	9.62	1.67	9.15	15.86	6.37
NCEH1	4.68	2.26	10.65	4.64	1.38	7.38	27.32	4.82	13.65	10.65	0.28	5.73	4.88	3.49	3.45	4.59	5.76	13.74	5.72	3.12	6.09	14.45	6.88	3.33
NCF2	10.91	5.67	13.91	12.89	1.12	11.54	11.19	5.25	3.54	3.31	1.64	6.74	2.09	5.84	2.49	4.38	4.84	9.06	3.46	10.13	8.37	18.45	21.55	7.12
NCF4	13.24	5.22	6.36	7.15	1.04	9.15	9.66	5.9	1.81	1.17	0	5.94	1.65	2	8.74	5.27	2.54	6.34	3.85	5.69	2.55	4.1	6.58	1.98
NCK1	23.76	7.63	22.58	27.01	16.7	20.39	19.27	17.23	21.73	14.35	27.68	37.44	12.81	37.5	15.02	24.37	10.96	21.54	6.14	14.48	13.76	16.19	23.05	21.02
NCK2	20.65	8.03	13.42	23.6	7.65	25.36	13.98	11.66	9.21	8.5	12.05	15.29	9.52	14.9	7.02	17.34	9.81	17.36	5.58	19.46	14.46	20.79	23.17	6.56
NCKAP1	7.72	25.26	72.48	47.49	19.46	13.66	8.95	25.15	45.87	47.2	24.83	44.37	20.99	77.3	36.4	35.92	37.96	6.13	21.98	29.37	38.89	13.57	21.5	18.64
NCKAP1L	55.98	10.32	7.11	48.11	9.81	42.35	30.04	24.46	3.43	12.16	1.06	42.01	5.16	3.38	30.41	16.6	4.71	11.59	10.65	3.28	6.11	20.63	14.53	11.5
NCKAP5L	15.08	13.95	9.04	16.74	3.18	20.19	40.39	4.57	6.47	3.97	4.71	15.03	8.75	11.82	5.36	6.84	7.46	7.08	7.06	5.03	8.75	21.58	48.01	3.89
NCKIPSD	7.1	3.93	4.41	6.92	5.33	8.23	10.19	5.41	5.4	4.64	2.39	4.4	5.25	16.23	3.46	2.43	4.91	17.33	2.86	9.28	2.2	3.59	16.79	8.86
NCL	85.8	52.1	250.51	153.2	46.16	120.44	114.88	128.38	196.66	93.32	89.71	85.55	73.32	393.83	140.96	100.46	106.92	168.84	46.85	166.53	162.57	39.88	138.42	130.7
NCLN	20.65	16.85	11.34	13.14	2.1	18.32	19.8	5.83	24.77	3.76	7.65	4.94	15.62	8.03	12.58	9.67	15	14.44	5.49	12.96	7.64	17.78	34.33	14.29
NCOA1	38.51	16.52	11.88	43.34	11.8	29.46	19.06	11.64	9.36	17.86	9	28.94	31.52	37.04	36.56	27.76	13.87	10.41	19.28	43.28	15.37	44.09	41.63	5.19
NCOA2	54.16	15.96	26.18	45.53	36.4	39.27	40.79	45.72	12.42	25.5	57.7	20.97	40.84	35.51	48.36	42.57	18.24	23.7	68.6	64.35	26.4	56.82	36.75	14.98
